hours_studied,previous_scores,extracurricular_activities,sleep_hours,sample_question_papers_practiced,performance_index,school
2,70,1,7,9,49,A
7,60,1,9,3,48,A
8,66,0,5,2,60,A
1,56,0,4,1,29,A
9,72,0,9,5,68,A
7,70,1,9,3,63,A
3,89,1,9,2,71,B
8,81,0,5,2,76,B
7,65,0,5,9,57,B
8,60,1,6,2,54,B
6,75,0,7,7,61,B
9,40,0,9,8,34,B
5,43,1,6,8,32,B
3,43,1,6,4,23,B
3,65,0,7,0,44,B
1,43,0,6,9,18,B
8,88,0,7,4,82,B
2,48,0,4,0,18,B
3,69,1,7,8,52,B
8,90,0,8,9,88,B
8,84,0,7,7,78,B
4,43,1,7,6,26,B
4,44,1,8,1,26,B
5,84,1,7,1,74,B
6,62,1,5,3,52,B
5,55,1,6,8,40,B
7,61,1,6,8,54,B
2,76,1,4,7,51,B
7,47,0,4,4,35,B
7,87,0,8,6,79,B
1,72,1,5,8,45,B
7,94,0,4,2,81,B
5,99,0,6,3,87,B
3,77,1,4,1,56,B
3,82,1,4,8,65,B
4,55,1,7,6,38,B
2,44,1,4,5,17,B
2,55,1,8,4,35,B
1,46,0,6,6,20,B
5,90,0,8,2,75,B
4,40,1,8,4,26,B
2,48,1,9,1,23,B
3,57,0,5,4,38,B
7,84,0,9,6,78,B
7,97,0,9,9,91,B
4,86,1,7,6,67,B
5,42,1,8,8,31,B
5,63,0,5,2,49,B
6,67,1,6,7,57,B
9,49,0,6,4,45,B
2,48,1,5,6,22,B
5,52,1,8,0,35,B
3,87,0,8,0,65,B
4,74,0,7,3,53,B
6,93,1,7,4,79,B
8,62,0,9,9,57,B
1,86,1,6,2,58,B
8,56,0,7,5,50,B
7,85,0,5,2,75,B
1,46,1,6,4,17,B
2,91,1,8,0,70,B
3,55,1,6,2,36,B
1,92,0,4,6,61,B
9,79,0,6,2,78,B
8,75,1,7,4,71,B
2,59,0,5,6,36,B
9,63,1,8,1,63,B
7,86,1,8,2,78,B
9,44,1,7,3,39,B
6,84,1,7,4,70,B
6,45,1,7,8,34,B
4,67,0,4,8,49,B
2,98,0,5,3,71,B
7,44,1,4,8,34,B
5,88,0,7,3,77,B
6,78,1,5,1,67,B
2,77,0,7,9,52,B
5,41,0,5,0,25,B
4,82,1,8,6,68,B
9,78,0,4,3,76,B
6,93,1,9,7,85,B
2,60,0,7,7,40,B
1,79,1,7,7,56,B
5,76,1,6,5,62,B
9,98,1,9,8,99,B
6,57,1,8,3,46,B
7,93,1,7,4,86,B
5,87,1,4,3,73,B
6,85,0,8,4,74,B
5,51,1,7,1,37,B
9,56,0,4,4,50,B
6,76,1,6,9,65,B
8,85,0,6,7,79,B
2,77,1,4,8,53,B
9,54,1,8,6,55,B
5,46,0,4,6,31,B
7,53,1,9,5,47,B
1,89,1,4,1,63,B
5,40,1,6,9,27,B
2,77,1,6,9,53,B
6,42,0,6,8,33,B
1,76,1,9,4,56,B
3,83,0,7,5,65,B
5,70,1,9,0,55,B
4,82,1,7,4,67,B
3,52,1,9,5,32,B
5,87,1,5,9,73,B
8,57,0,7,1,45,B
4,56,1,8,6,43,B
1,56,1,8,3,32,B
7,50,1,6,4,42,B
8,59,0,9,2,55,B
3,49,0,4,4,28,B
6,68,0,6,3,58,B
2,87,0,4,9,67,B
7,73,1,9,5,66,B
8,56,1,6,1,46,B
6,93,0,6,2,79,B
6,91,1,8,9,83,B
5,81,1,4,0,63,B
8,52,0,5,6,45,B
1,83,1,5,8,63,B
4,86,0,6,1,70,B
4,78,0,9,6,58,B
3,66,0,6,2,50,B
3,93,0,8,4,77,B
4,92,0,4,5,75,B
1,65,0,6,7,40,B
2,67,1,9,3,43,B
9,52,1,5,1,47,B
2,51,1,4,2,22,B
5,83,0,6,7,71,B
9,67,0,4,6,63,B
9,41,0,8,5,37,B
8,76,1,5,4,72,B
1,96,1,9,4,73,B
1,96,0,4,0,72,B
9,73,0,5,5,68,B
8,62,0,6,8,59,B
9,97,0,9,7,97,B
7,91,0,9,9,83,B
3,84,1,7,0,65,B
3,68,0,4,5,47,B
2,74,0,5,2,51,B
5,50,0,4,5,32,B
3,87,0,6,8,63,B
6,72,1,6,5,60,B
2,90,0,9,7,70,B
3,50,0,9,5,32,B
5,48,0,5,5,32,B
1,53,1,8,6,29,B
1,48,0,4,9,21,B
9,78,1,4,3,74,B
7,87,0,6,7,81,B
1,42,0,4,3,11,B
8,68,0,5,6,65,B
3,58,0,7,0,37,B
8,75,0,9,8,75,B
5,71,0,6,9,61,B
1,46,0,9,8,17,B
7,94,0,9,6,87,B
5,67,0,9,7,52,B
6,83,1,7,1,71,B
6,57,1,4,9,46,B
8,99,1,8,9,99,B
9,44,1,9,6,40,B
2,62,0,5,0,42,B
9,94,0,9,2,91,B
9,61,1,9,5,57,B
7,65,1,4,4,58,B
1,81,1,5,4,55,B
7,51,1,4,8,46,B
5,79,0,9,5,64,B
6,58,1,4,2,45,B
7,86,0,4,1,78,B
5,40,0,6,8,24,B
7,42,0,7,9,36,B
9,66,1,8,3,65,B
3,57,1,7,4,35,B
8,89,0,7,8,87,B
2,69,1,5,4,45,B
7,41,1,6,6,35,B
2,44,0,6,1,18,B
4,68,0,4,1,46,B
7,72,1,7,3,63,B
3,81,0,8,7,62,B
2,59,1,5,1,35,B
7,69,1,6,9,63,B
1,81,0,4,6,58,B
8,44,0,8,0,37,B
3,89,1,7,8,74,B
2,60,0,8,9,40,B
3,97,1,6,5,78,B
5,54,0,5,0,38,B
8,59,1,7,9,55,B
7,47,0,5,5,39,B
7,88,1,9,4,84,B
7,70,1,8,4,60,B
8,51,0,8,4,47,B
1,60,1,4,3,34,B
4,69,1,7,6,54,B
6,66,1,8,8,56,B
9,83,1,6,3,82,B
2,65,1,9,1,45,B
1,72,0,6,1,45,B
2,65,1,5,1,43,B
7,65,1,9,6,57,B
3,75,1,9,3,56,B
2,79,0,6,3,56,B
7,40,0,8,0,30,B
2,98,1,6,3,75,B
3,54,1,7,5,33,B
7,89,0,5,1,80,B
4,40,0,9,3,27,B
1,50,1,7,6,26,B
5,94,0,8,8,81,B
9,41,1,8,1,41,B
8,40,1,6,7,34,B
9,70,1,4,5,68,B
9,83,0,9,7,83,B
7,55,1,9,1,44,B
4,93,1,4,0,75,B
5,61,0,8,6,52,B
1,81,1,8,8,56,B
1,57,1,9,8,37,B
3,86,1,5,1,67,B
8,56,0,9,3,50,B
2,69,0,8,0,46,B
4,49,1,8,6,31,B
2,74,0,5,1,51,B
5,97,1,7,3,82,B
9,60,1,7,1,58,B
1,55,0,5,0,31,B
5,45,0,5,6,29,B
9,42,1,7,5,40,B
1,80,0,7,1,51,B
9,82,0,7,3,79,B
8,60,0,7,2,52,B
4,52,1,9,2,36,B
5,57,1,9,2,43,B
5,97,0,6,3,81,B
6,93,1,5,0,81,B
7,99,1,4,0,84,B
8,63,0,6,6,55,B
8,66,1,4,4,64,B
2,93,0,4,2,68,B
9,43,1,8,8,41,B
7,61,1,5,4,53,B
4,63,0,9,9,50,B
4,79,1,6,2,65,B
8,84,0,5,8,78,B
4,49,1,7,0,31,B
6,41,1,5,8,30,B
5,79,1,4,4,64,B
3,45,0,9,5,26,B
2,87,1,7,1,66,B
9,57,1,5,7,55,B
9,56,0,5,2,52,B
1,77,0,9,0,57,B
3,84,1,4,6,68,B
8,62,0,7,2,57,B
6,85,0,4,3,75,B
5,69,0,9,4,54,B
5,97,0,5,0,82,B
6,60,1,6,8,51,B
7,49,0,6,6,43,B
1,95,1,8,1,68,B
9,82,1,6,0,77,B
3,52,1,9,1,33,B
4,51,0,9,2,37,B
1,48,0,9,2,23,B
3,43,1,7,7,26,B
2,78,1,8,4,56,B
2,63,0,7,8,42,B
1,93,0,6,2,65,B
8,73,1,6,5,66,B
3,78,0,5,3,57,B
3,80,0,7,7,59,B
6,44,1,4,0,28,B
8,54,0,5,3,46,B
9,89,0,7,6,84,B
9,43,1,9,8,42,B
4,90,0,8,0,73,B
5,91,1,7,7,77,B
2,97,0,8,1,74,B
9,78,1,8,3,75,B
8,97,0,6,3,94,B
3,47,1,4,7,27,B
9,88,0,7,1,89,B
3,84,0,4,6,62,B
9,63,0,8,2,59,B
2,92,1,6,8,73,B
9,67,0,4,4,57,B
8,94,1,5,7,90,B
9,82,0,8,4,80,B
5,66,0,5,0,50,B
2,40,0,9,8,18,B
8,73,0,4,9,68,B
6,56,0,4,6,39,B
8,76,0,4,3,67,B
5,77,1,9,6,69,B
2,65,1,7,4,43,B
6,96,0,8,9,84,B
5,63,0,8,8,50,B
5,78,0,8,1,65,B
1,99,0,7,3,74,B
2,60,0,4,5,35,B
8,69,1,4,4,61,B
3,86,0,9,0,64,B
3,90,0,5,8,66,B
8,87,1,7,8,81,B
8,96,1,6,2,93,B
2,52,1,7,3,28,B
8,76,0,9,3,71,B
1,42,0,5,9,13,B
6,71,0,5,7,59,B
8,74,0,5,5,67,B
3,58,0,4,1,35,B
8,53,1,6,3,46,B
1,87,0,5,0,59,B
9,61,0,8,2,57,B
9,56,0,4,3,51,B
5,98,1,6,7,80,B
4,43,0,8,2,22,B
6,84,0,6,4,71,B
7,79,0,9,0,73,B
5,58,0,6,3,40,B
9,76,1,8,1,75,B
3,41,1,7,3,24,B
7,54,1,6,4,45,B
5,41,0,7,2,25,B
7,50,1,6,5,42,B
2,84,1,9,1,63,B
4,62,0,8,4,44,B
2,49,0,6,3,26,B
7,42,1,5,4,31,B
2,44,1,9,8,26,B
1,42,1,5,5,15,B
9,77,1,9,6,77,B
1,52,0,9,7,31,B
8,81,0,6,8,75,B
2,58,1,8,4,34,B
8,79,1,8,7,74,B
3,89,1,4,1,68,B
6,74,0,8,9,64,B
3,63,0,7,8,43,B
7,63,0,6,1,54,B
9,56,1,5,4,53,B
2,79,0,8,5,56,B
5,49,1,5,3,34,B
6,41,1,4,7,27,B
4,83,0,6,9,66,B
4,62,1,8,2,41,B
4,45,0,5,4,25,B
2,41,0,9,1,20,B
4,60,1,8,2,45,B
1,94,1,4,7,70,B
6,95,0,9,4,86,B
1,74,0,5,2,46,B
6,88,0,5,4,73,B
1,68,0,6,8,42,B
6,46,0,6,2,27,B
8,68,0,5,9,64,B
2,92,0,9,6,71,B
2,76,1,6,7,56,B
4,62,0,5,4,43,B
3,72,1,9,2,50,B
4,47,1,7,5,31,B
7,51,0,8,2,42,B
1,85,0,7,8,60,B
6,87,0,7,1,76,B
3,49,0,8,2,28,B
7,54,0,5,6,45,B
2,92,1,5,9,71,B
2,63,1,6,7,44,B
4,65,0,4,4,48,B
1,86,0,5,4,57,B
3,81,0,8,4,61,B
9,92,0,4,3,86,B
7,99,1,8,8,95,B
7,78,1,8,5,70,B
4,97,1,8,7,81,B
2,42,0,4,7,18,B
4,41,0,7,4,24,B
6,45,0,9,8,32,B
3,60,1,8,1,40,B
1,48,1,6,7,25,B
8,49,1,5,2,41,B
5,75,0,9,6,66,B
5,98,1,5,8,83,B
4,42,0,5,4,22,B
6,80,1,4,7,70,B
3,63,0,6,3,42,B
9,61,0,6,0,56,B
5,88,0,9,0,72,B
3,53,0,6,5,31,B
1,81,1,6,7,60,B
6,84,1,6,9,74,B
2,83,1,9,1,62,B
3,66,0,7,3,44,B
1,72,1,6,2,46,B
9,99,0,6,8,96,B
8,61,1,4,2,51,B
2,68,1,4,7,43,B
8,58,0,6,6,51,B
9,58,0,7,0,58,B
1,45,0,6,7,23,B
5,84,1,6,8,67,B
8,58,0,6,7,50,B
2,52,1,8,9,31,B
4,98,1,7,9,83,B
7,65,1,5,0,55,B
3,61,0,6,6,44,B
5,60,1,5,8,45,B
8,75,0,7,4,73,B
3,95,0,6,1,76,B
4,41,1,5,7,23,B
9,86,1,9,8,84,B
7,83,1,5,6,73,B
1,69,1,7,4,48,B
4,66,0,6,7,50,B
4,46,0,8,5,30,B
9,59,0,7,3,51,B
6,89,0,8,0,76,B
9,70,0,6,5,66,B
6,62,0,5,7,50,B
6,52,0,9,2,40,B
5,56,0,9,6,42,B
5,43,0,7,6,29,B
2,96,1,7,8,77,B
8,53,1,7,0,45,B
8,59,0,4,4,49,B
1,99,0,9,7,74,B
8,52,1,9,2,45,B
5,42,1,6,4,27,B
2,65,1,4,0,44,B
2,65,0,7,8,42,B
6,57,1,7,3,43,B
9,71,1,8,4,68,B
1,53,1,4,2,29,B
6,86,1,5,1,73,B
9,42,1,9,6,39,B
8,40,0,6,4,30,B
6,65,1,5,9,53,B
3,63,0,5,2,38,B
8,88,1,6,1,82,B
9,74,1,7,9,72,B
1,53,1,9,5,24,B
9,42,1,8,9,44,B
6,52,1,7,5,45,B
6,86,0,7,2,75,B
4,89,0,4,8,75,B
1,53,0,5,0,26,B
8,60,0,5,2,49,B
2,65,0,9,0,42,B
1,42,0,5,6,14,B
2,90,0,8,1,64,B
1,79,1,8,3,54,B
1,43,0,8,3,16,B
9,75,1,6,7,73,B
1,90,1,9,3,67,B
4,82,0,8,2,69,B
6,40,1,4,9,28,B
7,79,1,4,2,67,B
2,86,0,7,4,62,B
6,72,1,7,5,60,B
7,46,0,9,6,43,B
2,92,1,7,4,70,B
2,91,0,7,6,70,B
7,91,1,4,3,84,B
1,95,0,7,4,72,B
8,50,1,4,5,44,B
3,66,0,8,8,46,B
6,53,1,8,5,41,B
9,61,1,9,9,58,B
6,55,0,6,0,44,B
9,85,1,7,6,89,B
7,51,0,8,2,45,B
9,88,1,8,5,87,B
2,85,1,9,1,61,B
8,49,0,5,6,41,B
8,63,1,5,0,57,B
2,85,0,9,1,62,B
4,57,1,4,8,39,B
7,61,1,6,8,54,B
4,48,1,9,6,33,B
4,56,1,5,1,42,B
6,77,0,6,4,70,B
6,79,0,8,3,67,B
3,97,1,9,1,80,B
9,52,1,4,1,44,B
2,89,0,6,9,69,B
6,76,1,5,7,66,B
7,45,0,8,4,35,B
9,60,1,9,7,61,B
3,90,1,7,1,68,B
3,75,0,8,1,55,B
7,46,1,5,2,36,B
4,75,0,9,9,56,B
8,64,0,5,7,58,B
7,50,0,7,7,40,B
5,83,0,8,2,68,B
7,53,0,6,0,43,B
3,84,0,6,6,61,B
2,68,1,8,3,45,B
6,49,0,6,2,36,B
2,89,0,9,4,67,B
3,87,1,8,5,67,B
6,44,0,8,0,29,B
5,47,1,5,8,31,B
8,85,0,4,5,74,B
9,44,0,5,2,37,B
3,97,0,6,0,79,B
3,99,1,4,8,76,B
3,63,1,8,1,45,B
6,79,0,6,9,65,B
1,96,0,7,5,72,B
7,65,1,6,5,62,B
1,45,1,4,2,19,B
5,55,1,4,5,39,B
8,99,0,8,1,93,B
4,75,1,9,7,62,B
5,51,1,7,0,37,B
4,50,1,8,5,34,B
4,42,1,7,0,23,B
8,83,1,7,8,79,B
2,76,1,8,8,51,B
1,45,1,6,5,18,B
3,58,0,5,5,41,B
9,57,1,7,8,57,B
4,55,0,4,4,36,B
5,62,0,8,8,47,B
2,82,1,9,4,65,B
4,76,0,6,3,57,B
2,48,0,7,1,22,B
2,42,1,9,1,20,B
4,47,0,6,0,27,B
6,77,1,8,9,64,B
7,43,1,9,2,32,B
3,51,1,4,0,29,B
3,83,1,7,5,62,B
6,70,1,7,6,56,B
3,64,1,9,8,43,B
2,92,1,6,6,70,B
8,55,0,8,3,49,B
5,81,1,5,3,68,B
1,93,0,7,7,66,B
3,53,1,4,3,31,B
8,52,1,7,0,44,B
4,80,1,7,8,65,B
7,46,0,5,2,36,B
2,51,0,5,0,27,B
7,76,0,8,8,71,B
5,89,0,7,9,76,B
5,43,0,7,9,31,B
6,41,0,6,4,26,B
9,74,1,6,8,69,B
6,97,1,9,2,90,B
8,83,0,9,5,79,B
7,42,0,4,6,33,B
9,43,0,4,4,40,B
4,77,0,6,7,58,B
2,51,0,9,9,28,B
7,58,1,4,5,50,B
6,49,1,7,5,37,B
1,40,1,9,6,15,B
9,56,1,5,7,50,B
9,55,1,9,1,55,B
2,48,1,7,6,25,B
3,96,1,6,8,79,B
5,92,1,8,0,79,B
5,48,0,8,0,36,B
1,98,0,6,6,69,B
8,94,1,7,4,83,B
8,48,1,4,0,44,B
4,51,1,9,0,36,B
7,94,0,9,1,84,B
3,80,0,4,9,58,B
6,54,1,8,8,44,B
9,41,0,6,2,36,B
1,50,1,6,8,23,B
5,50,1,5,5,33,B
4,47,1,8,9,31,B
8,94,1,6,5,90,B
1,71,1,5,6,45,B
9,45,0,4,9,40,B
6,92,1,8,7,81,B
4,59,1,8,2,47,B
9,78,1,6,7,75,B
5,74,1,6,5,61,B
5,47,0,7,5,37,B
5,89,1,4,2,75,B
1,88,1,4,5,63,B
1,82,0,9,7,61,B
8,73,1,5,6,70,B
8,96,1,5,9,91,B
6,92,1,7,9,80,B
4,98,1,9,6,83,B
2,95,0,4,2,72,B
2,58,1,5,9,35,B
9,46,1,4,2,41,B
5,70,0,4,4,57,B
4,57,1,9,4,43,B
1,79,1,5,8,55,B
7,53,0,6,8,42,B
3,78,1,6,9,59,B
6,99,0,9,4,90,B
5,92,1,5,4,79,B
5,99,0,7,5,89,B
5,98,1,8,7,87,B
1,75,1,9,5,50,B
1,56,0,4,5,33,B
3,76,1,9,8,58,B
4,83,0,8,0,68,B
5,48,0,9,3,33,B
2,97,0,5,9,73,B
8,59,0,4,9,50,B
2,84,1,8,1,59,B
9,96,0,6,8,93,B
2,67,1,7,2,47,B
9,89,1,9,9,89,B
7,59,0,9,1,47,B
8,80,0,8,7,77,B
2,75,1,7,3,53,B
7,92,0,9,1,87,B
6,66,1,6,3,53,B
4,47,0,8,6,28,B
7,71,1,5,6,66,B
4,40,1,4,0,23,B
2,56,0,6,0,28,B
7,96,1,7,2,89,B
8,48,1,7,1,38,B
2,59,0,6,2,37,B
5,84,0,5,3,66,B
1,71,0,9,6,44,B
7,41,0,5,1,33,B
8,71,0,9,6,67,B
6,84,1,9,4,76,B
5,48,1,7,7,33,B
6,69,0,9,7,59,B
2,59,1,6,4,39,B
1,77,1,9,9,55,B
7,99,1,6,7,96,B
7,40,1,4,8,30,B
2,99,1,7,6,80,B
2,96,0,5,5,75,B
1,44,0,8,6,19,B
8,74,1,5,6,71,B
8,75,1,5,2,67,B
1,40,0,8,5,16,B
8,53,0,7,5,45,B
9,48,0,9,8,44,B
4,69,0,4,0,50,B
1,63,1,5,6,37,B
1,43,0,9,0,15,B
3,89,0,5,9,71,B
5,53,1,7,3,42,B
5,64,0,7,6,49,B
9,43,0,6,5,41,B
2,64,0,7,5,40,B
2,49,0,7,4,25,B
6,74,0,5,6,62,B
9,94,1,4,8,93,B
1,46,1,5,5,19,B
9,81,1,9,9,77,B
9,52,1,7,6,52,B
9,43,1,6,8,41,B
5,89,0,4,6,69,B
9,82,0,6,5,82,B
4,96,0,8,2,82,B
2,75,0,6,0,49,B
6,95,0,6,9,82,B
4,53,0,9,8,40,B
6,57,0,7,6,48,B
3,47,0,9,2,28,B
6,71,0,7,9,60,B
2,66,0,9,8,43,B
2,81,0,7,2,59,B
9,76,0,7,2,71,B
7,62,0,7,6,52,B
3,46,1,6,1,27,B
1,51,0,8,9,28,B
8,64,1,7,6,62,B
6,42,0,8,6,27,B
7,65,0,8,0,55,B
9,43,0,5,9,39,B
5,81,1,5,1,66,B
1,75,1,4,4,46,B
7,54,0,9,3,47,B
5,71,0,5,2,59,B
3,68,0,7,9,46,B
9,49,0,8,7,47,B
1,60,1,9,6,39,B
1,93,1,4,8,67,B
1,55,0,5,2,26,B
3,86,1,6,9,68,B
6,58,1,9,0,49,B
3,68,0,4,8,45,B
8,91,0,7,8,88,B
2,90,0,9,0,67,B
9,57,1,8,7,54,B
3,97,0,7,9,75,B
5,83,1,7,0,67,B
8,96,0,9,5,91,B
2,55,0,6,8,30,B
6,40,1,6,2,29,B
5,87,1,9,5,75,B
9,41,1,9,2,41,B
5,95,1,9,4,84,B
2,54,1,8,6,31,B
5,78,1,5,9,64,B
4,67,0,7,3,48,B
7,40,1,9,3,29,B
6,44,1,5,6,33,B
2,81,0,8,4,59,B
5,61,1,7,0,45,B
7,92,1,5,9,86,B
7,75,0,7,1,65,B
5,85,0,6,5,73,B
9,52,0,9,8,50,B
4,40,1,6,6,20,B
3,55,0,4,3,36,B
4,94,1,8,1,78,B
5,80,0,9,3,65,B
6,61,1,5,4,48,B
3,71,0,7,1,49,B
2,55,0,4,0,32,B
4,90,0,8,3,69,B
5,54,1,8,5,41,B
4,97,1,8,0,77,B
3,85,0,5,0,60,B
8,91,0,9,8,88,B
4,81,0,6,4,61,B
2,92,0,4,1,69,B
2,51,1,5,1,29,B
1,99,0,7,3,73,B
4,40,0,5,1,22,B
9,92,1,7,3,93,B
7,56,1,7,5,46,B
7,80,0,8,6,74,B
7,94,0,5,5,83,B
8,90,1,6,3,84,B
1,96,1,7,9,71,B
8,89,0,8,2,82,B
4,67,1,6,3,49,B
4,46,1,5,4,27,B
4,48,0,6,3,29,B
6,61,0,5,2,50,B
7,65,1,7,0,53,B
6,92,0,4,2,80,B
1,51,0,4,4,21,B
8,46,0,9,5,39,B
7,85,0,9,3,74,B
6,86,0,7,0,76,B
6,54,1,6,9,43,B
5,77,1,5,6,61,B
6,60,0,4,8,48,B
9,53,0,5,5,48,B
9,41,0,7,5,40,B
8,47,1,6,8,40,B
9,84,1,5,3,80,B
8,94,1,6,4,90,B
8,45,1,4,4,36,B
1,76,0,5,4,48,B
5,76,0,8,7,60,B
4,96,1,4,0,76,B
2,72,1,6,9,47,B
8,80,0,7,9,73,B
3,45,0,8,2,22,B
4,91,0,9,7,74,B
7,65,0,5,8,58,B
9,78,0,9,1,76,B
2,80,1,4,3,59,B
3,76,0,5,7,55,B
4,53,1,5,4,33,B
1,76,1,8,0,50,B
7,47,0,8,5,37,B
2,78,1,8,8,58,B
5,52,1,8,8,36,B
1,52,0,7,0,25,B
3,79,1,6,3,62,B
2,82,0,8,0,57,B
1,67,0,4,6,39,B
7,97,1,5,2,84,B
5,57,0,9,1,45,B
1,96,0,8,7,72,B
6,58,1,4,8,45,B
5,77,0,7,6,63,B
3,71,1,4,5,50,B
7,61,1,9,9,53,B
9,41,0,9,5,36,B
9,99,1,4,8,97,B
9,52,0,7,4,49,B
2,62,1,9,4,40,B
3,64,0,7,1,43,B
7,67,0,5,5,60,B
5,97,1,8,5,85,B
2,50,1,9,5,26,B
3,72,0,4,3,53,B
6,63,0,6,6,53,B
7,41,1,6,8,34,B
9,69,0,5,0,63,B
1,56,0,6,2,31,B
7,79,1,5,9,71,B
8,73,1,8,8,67,B
3,77,0,5,4,57,B
4,61,1,7,5,46,B
6,44,1,7,7,34,B
7,87,0,7,8,76,B
4,79,1,9,7,65,B
8,90,1,7,2,84,B
5,55,0,7,9,38,B
1,52,1,7,0,27,B
4,65,0,7,4,49,B
3,70,1,9,6,52,B
9,91,1,7,1,86,B
8,78,0,7,0,74,B
1,87,1,8,3,64,B
6,62,1,9,2,53,B
9,87,1,7,3,87,B
7,51,1,5,0,43,B
4,53,1,8,1,37,B
1,95,1,9,0,68,B
2,57,0,6,2,32,B
5,66,1,4,3,49,B
5,67,1,9,0,56,B
8,57,0,8,5,52,B
6,55,0,7,1,41,B
8,91,0,8,9,87,B
2,55,1,4,4,34,B
3,52,0,4,7,32,B
6,97,0,9,3,89,B
3,68,1,7,4,46,B
6,48,0,7,8,36,B
6,65,1,5,1,51,B
2,67,1,4,1,46,B
7,80,1,7,5,72,B
2,52,1,4,5,27,B
6,75,1,5,2,59,B
1,48,0,6,8,25,B
3,86,1,4,0,67,B
2,53,0,5,2,24,B
7,90,1,5,7,82,B
4,51,0,5,7,35,B
8,92,1,8,3,88,B
6,97,1,9,7,87,B
4,96,1,7,9,79,B
5,71,0,4,7,58,B
9,77,0,9,0,76,B
7,42,0,8,2,34,B
9,97,1,4,0,95,B
7,96,1,9,1,93,B
1,93,0,8,3,67,B
8,91,1,7,2,85,B
4,55,0,5,5,36,B
3,59,1,9,4,38,B
7,71,0,9,4,66,B
3,95,0,4,9,78,B
8,62,1,5,6,58,B
6,56,0,7,6,48,B
5,55,1,4,8,41,B
4,77,1,6,7,61,B
8,47,1,6,2,42,B
8,58,0,6,1,50,B
1,69,0,7,0,40,B
9,96,0,6,9,94,B
5,97,1,9,5,84,B
4,73,1,4,3,59,B
6,53,0,9,2,39,B
6,61,1,6,1,49,B
2,83,1,4,1,59,B
8,56,0,9,3,49,B
7,99,0,7,0,89,B
1,98,1,5,5,73,B
5,54,1,9,9,40,B
6,89,0,8,4,79,B
4,87,0,6,9,74,B
2,71,1,8,8,49,B
4,52,1,5,1,35,B
1,60,1,7,8,39,B
7,88,0,9,8,83,B
2,79,1,7,9,56,B
2,72,1,5,8,46,B
9,96,1,8,9,95,B
5,97,1,9,9,86,B
2,66,1,6,3,39,B
9,74,1,4,4,70,B
9,55,0,7,7,51,B
1,67,0,5,7,41,B
3,73,0,9,0,53,B
4,86,1,8,9,71,B
7,40,0,6,0,31,B
4,80,1,8,9,63,B
2,87,1,6,5,61,B
7,70,1,9,6,65,B
6,75,1,4,1,63,B
3,83,1,4,1,63,B
6,72,0,5,4,58,B
6,72,0,5,8,62,B
5,78,0,6,4,61,B
4,57,1,6,7,40,B
1,62,0,6,7,39,B
6,99,1,6,4,89,B
2,62,0,9,7,40,B
3,54,0,9,7,35,B
8,65,0,4,4,55,B
6,69,0,5,4,60,B
3,64,0,5,3,45,B
7,84,0,7,0,76,B
4,55,1,5,8,38,B
9,78,1,5,1,73,B
5,87,1,8,0,72,B
3,84,1,8,5,68,B
2,53,1,7,4,27,B
2,56,0,6,0,33,B
3,51,1,7,6,28,B
2,68,1,7,6,46,B
4,71,1,4,2,52,B
2,95,1,9,7,72,B
9,63,1,5,5,58,B
2,91,1,4,3,69,B
9,52,1,9,9,54,B
6,95,1,5,9,85,B
1,59,1,7,9,33,B
4,54,0,5,2,33,B
1,95,1,6,0,67,B
6,92,1,6,1,80,B
4,43,0,7,1,25,B
3,93,0,8,4,76,B
3,73,1,6,3,53,B
9,67,1,7,1,63,B
6,89,1,4,8,75,B
9,41,0,8,6,38,B
5,96,1,6,7,79,B
2,86,0,7,7,63,B
8,69,0,7,1,60,B
5,65,0,4,4,49,B
2,90,0,4,2,66,B
4,86,0,8,9,71,B
9,65,1,9,8,66,B
4,59,1,6,8,41,B
4,81,0,7,5,67,B
2,67,0,8,3,46,B
6,95,0,8,7,86,B
2,59,0,4,4,37,B
7,50,1,7,2,42,B
3,97,0,5,7,77,B
3,49,0,9,5,32,B
5,62,1,9,4,47,B
3,76,1,4,0,54,B
2,80,1,7,2,60,B
9,91,1,8,6,89,B
2,58,0,9,2,34,B
2,84,0,8,0,59,B
8,57,0,6,7,52,B
9,88,0,5,6,84,B
7,66,0,4,4,57,B
3,45,0,9,9,30,B
9,49,0,6,4,47,B
3,41,0,6,5,15,B
5,63,0,5,6,49,B
9,77,1,4,2,74,B
3,67,0,4,3,45,B
7,67,1,8,0,61,B
1,92,1,4,6,67,B
4,84,1,6,9,64,B
4,89,1,8,1,73,B
7,78,0,4,6,68,B
8,41,1,5,5,33,B
1,85,1,6,3,60,B
5,44,0,7,1,30,B
7,89,1,5,6,82,B
4,50,0,5,6,33,B
4,49,0,4,4,28,B
4,82,0,8,8,64,B
6,98,0,8,2,88,B
7,41,1,6,8,35,B
2,54,0,4,4,30,B
5,78,1,8,1,60,B
4,80,1,9,8,66,B
3,76,0,7,0,52,B
7,46,1,9,0,39,B
6,59,0,4,6,45,B
7,73,1,4,2,64,B
5,74,1,8,7,66,B
6,73,1,5,6,61,B
5,92,1,4,6,76,B
7,61,0,5,0,49,B
2,70,0,6,0,43,B
5,62,1,6,1,45,B
6,58,1,8,1,49,B
6,43,1,6,4,27,B
5,63,1,9,8,50,B
7,59,0,9,6,52,B
8,78,1,9,1,72,B
7,67,1,8,4,62,B
